Latitude,Longitude,Temperature,Humidity,Cloudiness,Wind Speed,Date,Country
46.84,74.98,8.29,100,0,7.85,1517216581,KZ
-26.79,-60.44,70.39,90,0,5.17,1517216582,AR
-30.97,22.13,80.97,35,0,10.42,1517216583,ZA
42.65,-73.75,27.91,74,40,6.93,1517215860,US
69.49,88.39,8.97,84,68,14.9,1517216586,RU
-34.42,19.24,90.37,35,0,1.92,1517216587,ZA
59.7,150.17,19.4,85,20,4.47,1517214600,RU
38.18,-1.13,52.54,93,40,2.24,1517212800,ES
-33.93,18.42,91.4,38,0,4.7,1517212800,ZA
27.18,31.19,53.6,58,0,11.41,1517212800,EG
-42.48,-73.76,43.84,98,0,3.6,1517216594,CL
54.13,-108.44,-10.88,52,20,2.82,1517216595,CA
5.28,115.24,85.24,79,90,4.7,1517212800,BN
50.7,-127.42,46.4,87,90,12.75,1517212800,CA
-43.53,172.64,68,82,0,14.99,1517214600,NZ
-23.12,-134.97,80.7,97,88,15.79,1517216601,PF
-22.97,-42.02,75.2,83,40,5.82,1517212800,BR
-22.95,14.51,64.4,72,75,3.36,1517212800,NA
77.48,-69.36,-21.41,91,0,6.51,1517216604,GL
-9.8,-139.03,81.55,99,92,18.03,1517216606,PF
30.59,116.63,31.38,76,48,3.38,1517216607,CN
-28.95,153.24,70.53,91,92,6.06,1517216608,AU
20.2,1.01,59,26,40,11.41,1517212800,ML
-23.58,149.07,84.97,46,76,5.61,1517216610,AU
51.81,68.36,6.04,81,0,6.96,1517216612,KZ
-21.21,-159.78,76.15,100,20,11.21,1517216613,CK
34.88,-76.9,56.52,100,90,6.93,1517215860,US
30.29,57.06,35.6,55,75,11.41,1517214600,IR
-33.21,138.6,76.24,67,68,12.55,1517216547,AU
39.31,-74.98,44.6,87,90,10.29,1517216100,US
-2.88,108.27,85.02,76,92,11.1,1517216619,ID
15.34,74.49,88.44,37,0,4.16,1517216620,IN
-10.07,-78.15,58.69,90,0,1.81,1517216621,PE
-33.91,150.9,81.54,65,20,20.8,1517212800,AU
-53.16,-70.91,51.8,66,20,24.16,1517212800,CL
-54.81,-68.31,50,57,75,17.22,1517212800,AR
-5.2,-35.46,79.17,87,88,10.31,1517216626,BR
22.08,-159.32,68.81,88,20,5.82,1517212560,US
38.94,100.46,8.25,54,36,6.06,1517216629,CN
63.84,-22.43,32.72,80,75,14.99,1517214600,IS
